graph,scenario,gamma_u,q,estimator,gate,bias,sd,rmse,reps
synthetic,S1,1.0,0.2,IPW-alloc,1.9865963574495753,-1.2925229844803179,1.5721134800202905,2.0352288469534368,1000
synthetic,S1,1.0,0.3,EARL,1.9865963574495753,-0.0028371925378318785,0.41781441049542944,0.41782404344309815,1000
synthetic,S1,1.0,0.3,EARL-centred,1.9865963574495753,-0.04819853963625009,1.2160748792814065,1.2170296673632712,1000
synthetic,S1,1.0,0.3,ERL-drop,1.9865963574495753,-1.3914686079760523,0.12534432314862884,1.3971027472338606,1000
synthetic,S1,1.0,0.3,IPW-assign,1.9865963574495753,-1.3915103253787824,0.15091150134462708,1.3996696992054427,1000
synthetic,S1,1.0,0.3,IPW-alloc,1.9865963574495753,-1.0301057101397464,4.214449214067628,4.338513564807394,1000
synthetic,S1,1.0,0.4,EARL,1.9865963574495753,-0.009540943034602067,0.341557540573107,0.34169077118988617,1000
synthetic,S1,1.0,0.4,EARL-centred,1.9865963574495753,-0.06808001794396201,1.2703305202560218,1.2721534968458739,1000
synthetic,S1,1.0,0.4,ERL-drop,1.9865963574495753,-1.195774191683586,0.13662301622924283,1.2035538068819813,1000
synthetic,S1,1.0,0.4,IPW-assign,1.9865963574495753,-1.1973614618080575,0.2003995130910043,1.2140158298268766,1000
synthetic,S1,1.0,0.4,IPW-alloc,1.9865963574495753,-0.8171269088720114,2.120819350959097,2.2727892785309627,1000
synthetic,S1,1.0,0.5,EARL,1.9865963574495753,-0.00989957040780065,0.32129667771176873,0.3214491508821873,1000
synthetic,S1,1.0,0.5,EARL-centred,1.9865963574495753,0.029792993383514155,1.4140085701070093,1.4143224027041428,1000
synthetic,S1,1.0,0.5,ERL-drop,1.9865963574495753,-0.998247963928688,0.16064833885588437,1.0110919277023858,1000
synthetic,S1,1.0,0.5,IPW-assign,1.9865963574495753,-0.9910146506787632,0.2813593462040735,1.0301811100754734,1000
synthetic,S1,1.0,0.5,IPW-alloc,1.9865963574495753,0.17644552637229038,15.790825026379641,15.791810790327828,1000
synthetic,S1,1.0,0.6,EARL,1.9865963574495753,-0.001485337157412836,0.2704224783204085,0.2704265575113195,1000
synthetic,S1,1.0,0.6,EARL-centred,1.9865963574495753,-0.04878803910773932,1.4948733126620624,1.4956692460799033,1000
synthetic,S1,1.0,0.6,ERL-drop,1.9865963574495753,-0.7955297452742778,0.16225348699224512,0.8119074883613896,1000
synthetic,S1,1.0,0.6,IPW-assign,1.9865963574495753,-0.8018003792998409,0.3466875381808397,0.8735422699419072,1000
synthetic,S1,1.0,0.6,IPW-alloc,1.9865963574495753,-0.3027470940188359,5.005191622531069,5.014339336462187,1000
synthetic,S1,1.0,0.7,EARL,1.9865963574495753,0.005273790958286728,0.24371145453778897,0.24376850892598184,1000
synthetic,S1,1.0,0.7,EARL-centred,1.9865963574495753,-0.0013826621358370428,1.7128665374209011,1.712867095477886,1000
synthetic,S1,1.0,0.7,ERL-drop,1.9865963574495753,-0.5922872535640717,0.17059801817645223,0.6163666721523837,1000
synthetic,S1,1.0,0.7,IPW-assign,1.9865963574495753,-0.6147112000137345,0.463933421845848,0.7701325076426284,1000
synthetic,S1,1.0,0.7,IPW-alloc,1.9865963574495753,-0.0696029419990083,4.590752231669275,4.591279845763199,1000
synthetic,S1,1.0,0.8,EARL,1.9865963574495753,-0.013492665837895768,0.22457716669709651,0.22498212336340992,1000
synthetic,S1,1.0,0.8,EARL-centred,1.9865963574495753,0.029136173713148583,2.1261897313630547,2.1263893553092155,1000
synthetic,S1,1.0,0.8,ERL-drop,1.9865963574495753,-0.40811340416023145,0.17966173335767718,0.4459090592131287,1000
synthetic,S1,1.0,0.8,IPW-assign,1.9865963574495753,-0.4331731680552886,0.6044296153971925,0.7436223191192243,1000
synthetic,S1,1.0,0.8,IPW-alloc,1.9865963574495753,-0.04993539196371999,2.557863651585017,2.558351032104548,1000
synthetic,S1,1.0,0.9,EARL,1.9865963574495753,-0.01104963227132516,0.21802964560110602,0.21830946093624848,1000
synthetic,S1,1.0,0.9,EARL-centred,1.9865963574495753,0.09225298504650059,3.010252179328949,3.0116654522713304,1000
synthetic,S1,1.0,0.9,ERL-drop,1.9865963574495753,-0.20860430478914993,0.19622668104099544,0.28639250396776994,1000
synthetic,S1,1.0,0.9,IPW-assign,1.9865963574495753,-0.22444825409144453,0.7897936218922086,0.8210669789647558,1000
synthetic,S1,1.0,0.9,IPW-alloc,1.9865963574495753,-0.013465984037664747,1.5832616016388834,1.5833188661638011,1000
synthetic,S1,1.0,1.0,EARL,1.9865963574495753,0.00829931820566765,0.20852228958746116,0.20868738327334488,1000
synthetic,S1,1.0,1.0,EARL-centred,1.9865963574495753,0.00829931820566765,0.20852228958746116,0.20868738327334488,1000
synthetic,S1,1.0,1.0,ERL-drop,1.9865963574495753,0.00829931820566765,0.20852228958746116,0.20868738327334488,1000
synthetic,S1,1.0,1.0,IPW-assign,1.9865963574495753,0.045487211055954546,1.0594713618838776,1.0604473834291483,1000
synthetic,S1,1.0,1.0,IPW-alloc,1.9865963574495753,0.045487211055954546,1.0594713618838776,1.0604473834291483,1000
synthetic,S2,0.0,0.1,EARL,0.01977848981560919,-0.13300095327322548,6.719007329383834,6.720323559612682,1000
synthetic,S2,0.0,0.1,EARL-centred,0.01977848981560919,-0.25184662687958176,8.391795628626232,8.395573869373134,1000
synthetic,S2,0.0,0.1,ERL-drop,0.01977848981560919,-0.03110073616137078,0.6719007329383835,0.6726201384978866,1000
synthetic,S2,0.0,0.1,IPW-assign,0.01977848981560919,-0.03038629451123093,0.6709245475957342,0.6716122954954471,1000
synthetic,S2,0.0,0.1,IPW-alloc,0.01977848981560919,0.34924786288138887,11.182612955584212,11.18806536377613,1000
synthetic,S2,0.0,0.2,EARL,0.01977848981560919,-0.16908141624877362,4.831076308655048,4.834034218473094,1000
synthetic,S2,0.0,0.2,EARL-centred,0.01977848981560919,-0.23156880602036178,6.597743965162542,6.60180653622631,1000
synthetic,S2,0.0,0.2,ERL-drop,0.01977848981560919,-0.04963907510224206,0.9662152617310097,0.9674895192088282,1000
synthetic,S2,0.0,0.2,IPW-assign,0.01977848981560919,-0.05105008174024139,0.9704300077668103,0.9717718409276824,1000
synthetic,S2,0.0,0.2,IPW-alloc,0.01977848981560919,0.01321291820773621,22.12333522840875,22.123339174043306,1000
synthetic,S2,0.0,0.3,EARL,0.01977848981560919,0.16946691570932335,3.984318983129981,3.9879213626712797,1000
synthetic,S2,0.0,0.3,EARL-centred,0.01977848981560919,0.054273298031511055,5.881784366768551,5.882034760866527,1000
synthetic,S2,0.0,0.3,ERL-drop,0.01977848981560919,0.036995131841870574,1.1952956949389941,1.1958680688603114,1000
synthetic,S2,0.0,0.3,IPW-assign,0.01977848981560919,0.036799811710518215,1.1906557724192122,1.1912243258669295,1000
synthetic,S2,0.0,0.3,IPW-alloc,0.01977848981560919,0.15174877475504742,10.203676862030285,10.204805201245728,1000
synthetic,S2,0.0,0.4,EARL,0.01977848981560919,0.14197939507044155,3.5619907359687164,3.564819231286704,1000
synthetic,S2,0.0,0.4,EARL-centred,0.01977848981560919,0.18599386522172986,5.533746506311151,5.536871329009822,1000
synthetic,S2,0.0,0.4,ERL-drop,0.01977848981560919,0.04492466413881116,1.4247962943874866,1.4255043689685059,1000
synthetic,S2,0.0,0.4,IPW-assign,0.01977848981560919,0.035552791575081885,1.4384549709900722,1.4388942645499812,1000
